"","caseid","startyear","endyear","sender1","institution","targetstate","targetinstitution","threat","sanctiontypethreat","othersanctiontypethreatened","sanctiontype","imposition","sancimpositionstartyear","othersanctiontype","finaloutcome","sender1ISO","targetstateISO","senderconstraint","senderveto","sendercinc","sendergdp","targetconstraint","targetveto","targetcinc","targetgdp","senderconstraint_imposition","senderveto_imposition","sendercinc_imposition","sendergdp_imposition","targetconstraint_imposition","targetveto_imposition","targetcinc_imposition","targetgdp_imposition","alliance","aliance_imposition","sender/target","target/sender","sender/target_imposition","target/sender_imposition","mid_start","mid_imposition","trade","threat"
"1",1963011201,1963,1964,2,0,230,NA,1,"8",NA,NA,0,NA,NA,3,840,724,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0339970296333558,0,0.0096202,16138545209.246,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.197701769809821,0.00565118131531169,0,0,0,0,0,0
"2",1963011202,1963,NA,2,0,345,NA,1,"8",NA,"7",1,1964,NA,NA,840,890,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0360464522011958,0,0.0054824,NA,0.0330594013091057,0.369001157290368,0.2079665,6.386e+11,0.0365046599239056,0,0.0061688,NA,0,NA,0.205986521766447,0.00297166004091038,0.176124318690952,0.00284531618368103,0,0,0,0
"3",1963011203,1963,NA,2,0,220,NA,1,"8",NA,"7",1,1964,NA,9,840,250,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,NA,0.173993545919477,0.0294007,75607529809.9288,0.0330594013091057,0.369001157290368,0.2079665,6.386e+11,NA,0.175038567818124,0.0292256,84759195105.8693,1,NA,0,0,0,0,0,0,0,0
"4",1963011204,1963,1964,2,0,600,NA,1,"8",NA,"7",1,1964,NA,7,840,504,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.033031969264307,0,0.0018557,2379606422.29029,0.0330594013091057,0.369001157290368,0.2079665,6.386e+11,0.0323373388228559,0,0.0018635,2657247327.3392,0,NA,0.135861513962585,0.000651157782444406,0.0999320504858228,0.000387079398202647,0,0,0,0
"5",1963049901,1963,1964,2,0,651,NA,1,"8",NA,"7",1,1964,NA,8,840,818,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0422824726527238,0,0.0064368,NA,0.0330594013091057,0.369001157290368,0.2079665,6.386e+11,0.0425785590278116,0,0.0056673,NA,0,NA,0,0.00141855394105635,0,0.00124657628329361,0,0,0,0
"6",1963089901,1963,1966,2,0,850,NA,1,"8",NA,"2 7",1,1963,NA,7,840,360,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0420053312987194,0,0.0129702,NA,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0420053312987194,0,0.0129702,NA,0,NA,0,0.00824566265564342,0,0.00824566265564342,0,0,1,0
"7",1963091201,1963,1963,2,0,817,NA,1,"8",NA,"4 7",1,1963,NA,10,840,868,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0506049448506672,0,0.0050769,NA,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0506049448506672,0,0.0050769,NA,0,NA,0,0.000203312908297305,0,0.000203312908297305,0,0,1,0
"8",1963092101,1963,NA,850,0,820,NA,0,NA,NA,"1 6",1,1963,"cut of telephone communication, ratio and commercial communication",NA,360,458,0.0420053312987194,0,0.0129702,NA,NA,0.311329735389301,0.0017585,2001502678.6881,0.0420053312987194,0,0.0129702,NA,NA,0.311329735389301,0.0017585,2001502678.6881,0,NA,0,0,0,0,0,0,1,0
"9",1963092501,1963,1964,2,0,42,NA,0,NA,NA,"7",1,1963,NA,8,840,214,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0538933642454992,0,0.000517,824100000,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0538933642454992,0,0.000517,824100000,1,NA,0,0.00950342076302296,0,0.00950342076302296,0,0,0,0
"10",1963100301,1963,1964,2,0,91,NA,1,"8",NA,"7",1,1963,NA,8,840,340,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0617967810462526,0.335164972776769,0.0002219,387750000,0.0322448495767581,0.378695411698918,0.2099114,6.051e+11,0.0617967810462526,0.335164972776769,0.0002219,387750000,1,NA,0,0.00212833419167092,0,0.00212833419167092,0,0,0,0
"11",1964011201,1964,1964,850,0,2,NA,0,NA,NA,"3",1,1964,NA,8,360,840,0.0411585752613195,0,0.0127352,NA,0.0330594013091057,0.369001157290368,0.2079665,6.386e+11,0.0411585752613195,0,0.0127352,NA,0.0330594013091057,0.369001157290368,0.2079665,6.386e+11,0,NA,0.00666523669334973,0,0.00666523669334973,0,0,0,1,0
"12",1964120301,1964,1965,260,0,265,NA,1,"8 10",NA,NA,0,NA,NA,3,280,278,0.032972783735217,0.402023571641275,0.03977,NA,0.0426717090333149,0,0.0096539,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,1
"13",1964122801,1964,1965,2,0,651,NA,0,NA,NA,"7",1,1965,NA,6,840,818,0.0330594013091057,0.369001157290368,0.2079665,6.386e+11,0.0425785590278116,0,0.0056673,NA,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,0.0428054128169457,0,0.0060231,NA,0,NA,0,0.00124657628329361,0,0.00130544109507343,0,0,0,0
"14",1965019901,1965,1971,220,0,615,NA,0,NA,NA,"3 7",1,1965,NA,10,250,12,NA,0.175038567818124,0.0288329,94007851047.3678,0.045457046201582,0,0.0017614,2909292864.23204,NA,0.175038567818124,0.0288329,94007851047.3678,0.045457046201582,0,0.0017614,2909292864.23204,0,NA,0,0,0,0,0,0,1,0
"15",1965021601,1965,1965,260,0,510,NA,1,"8",NA,"7",1,1965,NA,6,280,834,0.0326931204008357,0.402023571641275,0.0400492,NA,NA,0,0.0006954,NA,0.0326931204008357,0.402023571641275,0.0400492,NA,NA,0,0.0006954,NA,0,NA,0,0,0,0,0,0,0,0
"16",1965021602,1965,1972,260,0,651,NA,1,"8",NA,"7",1,1965,NA,8,280,818,0.0326931204008357,0.402023571641275,0.0400492,NA,0.0428054128169457,0,0.0060231,NA,0.0326931204008357,0.402023571641275,0.0400492,NA,0.0428054128169457,0,0.0060231,NA,0,NA,0,0.00209759207711262,0,0.00209759207711262,0,0,0,0
"17",1965030101,1965,1972,651,1,260,0,1,"1",NA,"2",1,1965,NA,7,818,280,0.0428054128169457,0,0.0060231,NA,0.0326931204008357,0.402023571641275,0.0400492,NA,0.0428054128169457,0,0.0060231,NA,0.0326931204008357,0.402023571641275,0.0400492,NA,0,NA,0.00209759207711262,0,0.00209759207711262,0,0,0,1,0
"18",1965031001,1965,1965,651,0,260,NA,1,"2 7",NA,NA,0,NA,NA,1,818,280,0.0428054128169457,0,0.0060231,NA,0.0326931204008357,0.402023571641275,0.0400492,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.00209759207711262,0,0,0,0,0,0,2
"19",1965061401,1965,1977,2,0,135,NA,1,"8",NA,"2 7",1,1969,NA,8,840,604,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,0.0386374128709879,0.188430113052415,0.002175,4356913870.23507,0.0302478208994966,0.382700701597253,0.2034119,9.425e+11,0.036469786389224,0,0.0023438,5736083835.22481,1,NA,0.412212387899146,0.0105693713912125,0.337842613677494,0.00992146261720011,0,0,1,0
"20",1965061402,1965,1977,2,0,130,NA,1,"8",NA,"2 7",1,1968,NA,8,840,218,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,0.0410566983931615,0,0.0006977,2244146867.90195,0.0303738146597136,0.382700701597253,0.2085481,8.617e+11,0.0376793875295267,0,0.000721,2553596091.82258,1,NA,0.451354078093269,0.00467823804917215,0.403891901782655,0.00374781938562682,0,0,1,0
"21",1965063101,1965,1967,2,0,750,NA,0,NA,NA,"7",1,1965,NA,7,840,356,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,0.0355729315044469,0.36884826699946,0.0516669,56480289940.8261,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,0.0355729315044469,0.36884826699946,0.0516669,56480289940.8261,0,NA,0.339904306543206,0.0166501272882848,0.339904306543206,0.0166501272882848,0,0,0,0
"22",1965081301,1965,NA,850,0,817,NA,0,NA,NA,"4",1,1965,NA,NA,360,868,0.0423303518793757,0,0.012989,NA,0.0402796094098991,0,0.003514,NA,0.0423303518793757,0,0.012989,NA,0.0402796094098991,0,0.003514,NA,0,NA,0.0443733023695893,0,0.0443733023695893,0,0,0,1,0
"23",1965090601,1965,1975,2,1,770,NA,1,"8",NA,"7",1,1965,NA,9,840,586,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,NA,NA,0.0108625,5204955900.88198,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,NA,NA,0.0108625,5204955900.88198,1,NA,0,0,0,0,0,0,0,0
"24",1965090602,1965,1975,2,0,750,NA,1,"8",NA,"7",1,1965,NA,9,840,356,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,0.0355729315044469,0.36884826699946,0.0516669,56480289940.8261,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,0.0355729315044469,0.36884826699946,0.0516669,56480289940.8261,0,NA,0.339904306543206,0.0166501272882848,0.339904306543206,0.0166501272882848,0,0,0,0
"25",1965090701,1965,1975,2,0,770,NA,1,"8",NA,"4 7",1,1965,NA,9,840,586,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,NA,NA,0.0108625,5204955900.88198,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,NA,NA,0.0108625,5204955900.88198,1,NA,0,0,0,0,0,0,1,0
"26",1965111101,1965,1979,2,1,552,0,1,"3 10",NA,"2 6 7 8 9",1,1965,NA,10,840,716,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,NA,NA,NA,1217138000,0.032597147572376,0.369001157290368,0.2029826,6.858e+11,NA,NA,NA,1217138000,0,NA,0,0,0,0,0,0,1,2
"27",1965122001,1965,NA,552,0,200,NA,1,"1",NA,NA,0,NA,NA,4,716,826,NA,NA,NA,1217138000,0.0318203732414813,0.331564932495521,0.0368837,94407558351.1616,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0
"28",1966062901,1966,1966,2,0,160,NA,0,NA,NA,"7",1,1966,NA,8,840,32,0.031567792754934,0.350847653397153,0.2015391,7.437e+11,0.0365675309317708,0.313533709642234,0.006999,NA,0.031567792754934,0.350847653397153,0.2015391,7.437e+11,0.0365675309317708,0.313533709642234,0.006999,NA,1,NA,0.226976866058836,0.00571294205112666,0.226976866058836,0.00571294205112666,0,0,0,0
"29",1966112101,1966,1966,663,1,666,1,1,"1",NA,NA,0,NA,NA,3,400,376,0.0374845152666025,0,0.000716,599831979.837581,0.0363235139004729,0.546619299719888,0.0014265,3663333333.33333,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,0,0
"30",1967012401,1967,1967,710,0,235,NA,0,NA,NA,NA,1,1967,"China denied food, services and taxes to the Portuguese officials in Macao",8,156,620,0.0375081922506954,0,0.1096543,76720285969.6157,0.0337035372332951,0,0.0026087,5135387845.97108,0.0375081922506954,0,0.1096543,76720285969.6157,0.0337035372332951,0,0.0026087,5135387845.97108,0,NA,0.000181017380624161,0,0.000181017380624161,0,0,0,0,0
"31",1967013101,1967,1978,750,0,816,NA,1,"2",NA,"1",1,NA,NA,8,356,704,0.0326974337021114,0.36884826699946,0.0520545,45865462033.91,NA,0,0.0037038,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,0,1,1
"32",1967041201,1967,1969,652,0,670,NA,0,NA,NA,"3 8",1,1967,NA,8,760,682,0.044673038130932,0,0.0014045,1342287556.59602,0.0438724605166895,0,0.0017438,NA,0.044673038130932,0,0.0014045,1342287556.59602,0.0438724605166895,0,0.0017438,NA,1,NA,0,0,0,0,0,0,1,0
"33",1967042001,1967,1975,2,0,325,NA,0,NA,NA,"3",1,1967,NA,8,840,380,0.0311442620655641,0.350847653397153,0.2086695,8.15e+11,NA,0.489128685492215,0.0209365,73654870011.2757,0.0311442620655641,0.350847653397153,0.2086695,8.15e+11,NA,0.489128685492215,0.0209365,73654870011.2757,1,NA,0,0,0,0,0,0,1,0
"34",1967042501,1967,1968,2,0,350,NA,1,"8",NA,"7",1,1967,NA,8,840,300,0.0311442620655641,0.350847653397153,0.2086695,8.15e+11,0.0341768619757507,0.35991394425864,0.0025636,8591517943.60129,0.0311442620655641,0.350847653397153,0.2086695,8.15e+11,0.0341768619757507,0.35991394425864,0.0025636,8591517943.60129,1,NA,0.107222490428714,0.00199929965675921,0.107222490428714,0.00199929965675921,0,0,0,0
